अमरकांत का जन्म किस वर्ष में हुआ था?,1920,1925,1940,1946,b
अमरकांत का जन्म स्थान क्या है?,गोरखपुर, इलाहाबाद,"नागरा, बलिया", आगरा,c
अमरकांत ने अपनी हाईस्कूल की शिक्षा कहाँ से प्राप्त की?,इलाहाबाद विश्वविद्यालय,"गवर्नमेंट हाईस्कूल, बलिया","सतीशचंद्र कॉलेज, बलिया",गोरखपुर विश्वविद्यालय,b
अमरकांत ने किस कॉलेज से इंटरमीडिएट किया?,इलाहाबाद विश्वविद्यालय,"गवर्नमेंट कॉलेज, बलिया","सतीशचंद्र कॉलेज, बलिया",आगरा कॉलेज,c
अमरकांत ने अपनी कहानी लेखन की शुरुआत कहाँ की?,दैनिक 'भारत', दैनिक 'अमृत पत्रिका', 'प्रगतिशील लेखक संघ', 'कहानी' पत्रिका,c
अमरकांत की कौन सी कहानी अखिल भारतीय कहानी प्रतियोगिता में पुरस्कृत हुई थी?,जिंदगी और जॉक, डिप्टी कलक्टरी, मित्र-मिलन, मौत का नगर,b
अमरकांत को किस पुरस्कार से सम्मानित किया गया है?,ज्ञानपीठ पुरस्कार, साहित्य अकादमी पुरस्कार, राष्ट्रकवि प्रेमचंद पुरस्कार, वाग्देवी पुरस्कार,b
अमरकांत की कहानियों का प्रमुख विषय क्या है?,ग्रामीण जीवन, निम्न मध्यवर्ग का जीवन, उच्च वर्ग का जीवन, ऐतिहासिक घटनाएँ,b
अमरकांत की भाषा में क्या खासियत है?,जटिल शब्दावली, साहित्यिक अलंकरण, लोकजीवन के मुहावरे, फॉर्मल भाषा,c
अमरकांत की 'ग्राम सेविका' नामक पुस्तक क्या है?,कहानी संग्रह, बाल उपन्यास, उपन्यास, निबंध,c
अमरकांत की 'मौत का नगर' नामक पुस्तक क्या है?,उपन्यास, कहानी संग्रह, निबंध, नाटक,b
अमरकांत ने किस दैनिक पत्र में नौकरी की?,भारत,अमृत पत्रिका,सैनिक,हिंदुस्तान,c
अमरकांत का किस समूह से जुड़ाव रहा है?,समकालीन लेखक संघ, प्रगतिशील लेखक संघ, भारतीय साहित्य सभा, लेखक परिषद,b
अमरकांत की 'जिंदगी और जॉक' नामक पुस्तक क्या है?,कहानी संग्रह, बाल उपन्यास, उपन्यास, निबंध,a
अमरकांत की प्रस्तुत कहानी किस प्रकार के लड़के को प्रतिष्ठित करती है?,ग्रामीण नायक, निम्न मध्यवर्गीय नायक,उच्च वर्गीय नायक,एक नेपाली गँवई गोरखे की,d
अमरकांत की भाषा में किस प्रकार का फक्कड़पन है?,औपचारिकता, जटिलता,एक खास किस्म का, विद्वेष,c
अमरकांत की कहानी 'डिप्टी कलक्टरी' किस वर्ग के अनुभवों को दर्शाती है?,उच्च वर्ग, निम्न मध्यवर्ग, ग्रामीण, शहरी,b
अमरकांत के उपन्यास 'आकाशपक्षी' किस श्रेणी में आता है?,बाल उपन्यास, कहानी संग्रह, उपन्यास, निबंध,c
अमरकांत की 'वानर सेना' नामक पुस्तक क्या है?,कहानी संग्रह, बाल उपन्यास, उपन्यास, निबंध,b
अमरकांत की कहानियाँ किसकी संवेदनाओं का प्रभावशाली चित्रण करती हैं?,अमीरों की, निम्न वर्ग की, विद्वानों की, ग्रामीणों की,b
